title,lyrics
All My Loving,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my loving, I will send to you
All my loving, darling I'll be true

Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my loving, I will send to you
All my loving, darling I'll be true
All my loving, all my loving
Woo, all my loving, I will send to you"
She Loves You,"She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah

You think you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's thinking of
And she told me what to say-yi-yay

She says she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

She said you hurt her so
She almost lost her mind
And now she says she knows
You're not the hurting kind

She says she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad

You know it's up to you
I think it's only fair
Pride can hurt you too
Apologize to her

Because she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
With a love like that
you know you should be glad
With a love like that
you know you should be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
Long Tall Sally,"I'm 
gonna
 tell aunt Mary 'bout 
uncle
 John
He said he had the 
misery
 but he got a lot of fun
Oh baby, yeah now baby, woo baby 
Some fun tonight

I saw 
uncle
 John with long tall Sally
He saw aunt Mary comin' and he 
ducked
 back in the alley
Oh baby, yeah now baby, woo baby
Some fun tonight

Well, long tall Sally's 
built
 pretty sweet
She got 
everything
 that 
uncle
 John needs
Oh baby, yeah now baby, woo baby
Some fun tonight

Well, we're 
gonna
 have some fun tonight
Have some fun tonight, oh
Everything's all right
Have some fun tonight
Have some fun, yeah, yeah, yeah

We're 
gonna
 have some fun tonight
Have some fun tonight
Everything's all right
Have some fun tonight
Yeah, we'll have some fun
Some fun tonight"
You Can't Do That,"I got 
something
 to say that 
might
 'cause you pain
If I 
catch
 you 
talking
 to that boy again
I'm 
gonna
 let you down
And 
leave
 you flat
Because I told you before, oh
You can't do that

Well, it's the 
second
 time I've 
caught
 you 
talking
 to him
Do I have to tell you one more time, I 
think
 it's a sin
I 
think
 I'll let you down (let you down)
And 
leave
 you flat
(Gonna let you down and 
leave
 you flat)
Because I've told you before, oh
You can't do that

Everybody's green
'Cause I'm the one, who won your love
But if they'd seen
You're 
talking
 that way they'd 
laugh
 in my face

So 
please
 listen to me, if you 
wanna
 stay mine
I can't help my feelings, I'll go out of my mind
I'm 
gonna
 let you down (let you down)
And 
leave
 you flat
(Gonna let you down and 
leave
 you flat)
Because I've told you before, oh, you can't do that

You can't do that
You can't do that
You can't do that
You can't do that
You can't do that

Everybody's green
'Cause I'm the one who won your love
But if they'd seen
You're 
talking
 that way they'd 
laugh
 in my face

So 
please
 listen to me, if you 
wanna
 stay mine
I can't help my feelings, I'll go out of my mind
I'm 
gonna
 let you down (let you down)
And 
leave
 you flat
(Gonna let you down and 
leave
 you flat)
Because I've told you before, oh
You can't do that"
I Want to Hold Your Hand,"Oh yeah, I'll tell you somethin'
I 
think
 you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

Oh please, say to me
You'll let me be your man
And please, say to me
You'll let me hold your hand
Now, let me hold your hand
I want to hold your hand

And when I 
touch
 you
I feel 
happy
 inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I 
think
 you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

And when I 
touch
 you
I feel 
happy
 inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I 
think
 you'll understand
When I feel that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand
I want to hold your hand"
Everybody’s Trying to Be My Baby,"Well they took some 
honey
 from a tree
Dressed it up and they 
called
 it me

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Well half past nine, half past four
Fifty 
women
 knocking on my door

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Went out last night, I didn't stay late
'Fore I got home I had 
nineteen
 dates

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Went out last night, I didn't stay late
'Fore I got home I had 
nineteen
 dates

Well they took some 
honey
 from a tree
Dressed it up and they 
called
 it me

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, no"
Baby's in Black,"Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

She 
thinks
 of him
And so she 
dresses
 in black
And 
though
 he'll 
never
 come back
She's 
dressed
 in black

Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

I 
think
 of her
But she 
thinks
 only of him
And 
though
 it's only a whim
She 
thinks
 of him

Oh how long will it take
'Til she sees the 
mistake
 she has made?
Dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

Oh how long it will take
'Til she sees the 
mistake
 she has made?
Dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

She 
thinks
 of him
And so she 
dresses
 in black
And 
though
 he'll 
never
 come back
She's 
dressed
 in black

Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?"
Twist and Shout,"Well, shake it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I know you would

Well, shake it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine, woo

Ah, ah, ah, ah, wow
Baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine
Well, shake it, shake it, shake it, baby now
Well, shake it, shake it, shake it, baby now
Well, shake it, shake it, shake it, baby now
Ah, ah, ah, ah"
She's a Woman,"My love don't give me presents
I know that she's no peasant
Only ever has to give me
Love 
forever
 and forever
My love don't give me presents

Turn me on when I get lonely
People tell me that she's only fooling
I know she isn't

She don't give boys the eye
She 
hates
 to see me cry
She is 
happy
 just to hear me
Say that I will 
never
 leave her
She don't give boys the eye

She will 
never
 make me jealous
Gives me all her time as well as loving
Don't ask me why

She's a 
woman
 who understands
She's a 
woman
 who 
loves
 her man

My love don't give me presents
I know that she's no peasant
Only ever has to give me
Love 
forever
 and forever
My love don't give me presents

Turn me on when I get lonely
People tell me that she's only fooling
I know she isn't, woo ooh

She's a 
woman
 who understands
She's a 
woman
 who 
loves
 her man

Her love don't give me presents
I know that she's no peasant
Only ever has to give me
Love 
forever
 and forever
My love don't give me presents

Turn me on when I get lonely
People tell me that she's only fooling
I know she isn't

She's a woman, she's a woman
She's a woman, she's a woman, she's a woman"
Dizzy Miss Lizzy,"You make me dizzy, Miss Lizzy
The way you rock and roll
You make me dizzy, Miss Lizzy
When we do the stroll
Come on, Miss Lizzy
Love me before I grow too old

Come on, give me fever
Put your little hand in mine
You make me dizzy, dizzy Lizzy
Oh girl, you look so fine
Just a-rocking and a-rolling
Girl I said I wish you were mine

You make me dizzy, Miss Lizzy
When you call my name
Ooh baby
Say you're driving me insane
C'mon, c'mon, c'mon, c'mon baby
I want to be your lover man

Run and tell your mama
I want you to be my bride
Run and tell your brother
Baby, don't run and hide
You make me dizzy, Miss Lizzy
Girl I want to marry you

Come on, give me fever
Put your little hand in mine, girl
You make me dizzy, dizzy Lizzy
Girl, you look so fine
You're just a-rocking and a-rolling
Oh I said I wish you were mine."
Ticket to Ride,"I think I'm gonna be sad,
I think it's today, yeah.
The girl that's driving me mad
Is going away.

[Chorus]
She's got a ticket to ride,
She's got a ticket to ride,
She's got a ticket to ride,
But she don't care.

She said that living with me
Is bringing her down yeah.
For she would never be free
When I was around.

[Chorus]

I don't know why she's ridin' so high,
She ought to think twice,
She ought to do right by me.
Before she gets to saying goodbye,
She ought to think twice,
She ought to do right by me.

I think I'm gonna' be sad,
I think it's today yeah.
The girl that's driving me mad
Is going away, yeah.

[Chorus]

I don't know why she's ridin' so high,
She ought to think twice,
She ought to do right by me.
Before she gets to saying goodbye,
She ought to think twice,
She ought to do right by me

She said that living with me,
Is bringing her down, yeah.
For she would never be free
When I was around.

[Chorus]

[Repeat: x3]
My baby don't care, my baby don't care."
Can't Buy Me Love,"Can't buy me love, love
Can't buy me love

I'll buy you a diamond ring my friend
If it makes you feel all right
I'll get you anything my friend
If it makes you feel all right
Cause I don't care too much for money
For money can't buy me love

I'll give you all I've got to give
If you say you love me too
I may not have a lot to give
But what I've got I'll give to you
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
Cause money can't buy me love
Oh, can't buy me love, love
Can't buy me love, no"
Things We Said Today,"You say you will love me
If I have to go
You'll be thinking of me
Somehow I will know

Someday when I'm lonely
Wishing you weren't so far away
Then I will remember
Things we said today

You say you'll be mine, girl
'Til the end of time
These days such a kind girl
Seems so hard to find

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
The things we said today

Me, I'm just the lucky kind
Love to hear you say that love is luck
And, though we may be blind
Love is here to stay
And that's enough
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today

Me, I'm just the lucky kind
Love to hear you say that love is luck
And, though we may be blind
Love is here to stay
And that's enough
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
The things we said today"
Roll Over Beethoven,"I'm gonna write a little letter,
Gonna mail it to my local DJ
It's a rockin' rhythm record 
I want my jockey to play
Roll Over Beethoven, I gotta hear it again today

You know, my temperature's risin' 
And the jukebox blows a fuse
My heart's beatin' rhythm 
And my soul keeps on singin' the blues
Roll Over Beethoven and tell Tchaikovsky the news

I got the rockin' pneumonia, 
I need a shot of rhythm and blues
I think I'm rollin' arthritis 
Sittin' down by the rhythm review
Roll Over Beethoven rockin' in two by two

Well, if you feel you like it
Go get your lover, then reel and rock it
Roll it over and move on up just
A trifle further and reel and rock it,
Roll it over,
Roll Over Beethoven rockin' in two by two

Well, early in the mornin' I'm a-givin' you a warnin' 
Don't you step on my blue suede shoes
Hey diddle diddle, I am playin' my fiddle,
Ain't got nothin' to lose
Roll Over Beethoven and tell Tschaikowsky the news

You know she wiggles like a glow worm,
Dance like a spinnin' top
She got a crazy partner, 
Oughta see 'em reel and rock
Long as she got a dime the music will never stop

Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven and dig these rhythm and blues"
Boys,"I been told when a boy kiss a girl, 
Take a trip around the world, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

My girl says when I kiss her lips, 
Gets a thrill through her fingertips, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

Well, I talk about boys, 
Don't ya know I mean boys, 
Well, I talk about boys, now, 
Aaahhh, boys, 
Well, I talk about boys, now, 
What a bundle of joy! (Alright, George!) 

My girl says when I kiss her lips, 
Gets a thrill through her fingertips, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

Well, I talk about boys, 
Don't ya know I mean boys, 
Well, I talk about boys, now, 
Aaahhh, boys, 
Well, I talk about boys, now, 
What a bundle of joy!"
A Hard Day's Night,"It's been a hard day's night, and I've been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright

You know I work all day to get you 
money
 to buy you things
And it's 
worth
 it just to hear you say you're 
going
 to give me everything
So why on 
earth
 should I moan, 'cause when I get you alone
You know I feel ok

When I'm home 
everything
 seems to be right
When I'm home 
feeling
 you 
holding
 me tight, tight, yeah

It's been a hard day's night, and I've been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright, oww

So why on 
earth
 should I moan, 'cause when I get you alone
You know I feel ok

When I'm home 
everything
 seems to be right
When I'm home 
feeling
 you 
holding
 me tight, tight, yeah

Oh, it's been a hard day's night, and I've been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright
You know I feel alright
You know I feel alright"
Help!,"(Help) I need somebody
(Help) not just anybody
(Help) you know I need someone
(Help)

(When) when I was 
younger
 (when I was young) so much 
younger
 than today
(I 
never
 needed) I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

(Now) and now my life has 
changed
 (my life has changed) in oh-so-many ways (my independence)
My 
independence
 seems to 
vanish
 in the haze
(But) but 
every
 now and then (now and then) I feel so 
insecure
 (I know that I)
I know that I just need you like I 
never
 done before

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

When I was younger, so much 
younger
 than today
I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find, I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me, help me, help me, ooh?"
All My Loving,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my loving, I will send to you
All my loving, darling I'll be true

Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my loving, I will send to you
All my loving, darling I'll be true
All my loving, all my loving
Woo, all my loving, I will send to you"
She Loves You,"She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah

You 
think
 you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's 
thinking
 of
And she told me what to say-yi-yay

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

She said you hurt her so
She 
almost
 lost her mind
And now she says she knows
You're not the 
hurting
 kind

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad

You know it's up to you
I 
think
 it's only fair
Pride can hurt you too
Apologize to her

Because she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad
With a love like that
you know you 
should
 be glad
With a love like that
you know you 
should
 be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
Long Tall Sally,"Gonna tell Aunt Mary 'bout 
Uncle
 John,
He says he has the 
blues
 but he havin'a 
lotta
 fun
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun 
tonight
 a 
lotta
 fun.

Well Long, Tall Sally
She's 
built
 for speed, she got
Everything that 
Uncle
 John needs
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight.

Well, I saw 
Uncle
 John with long tall Sally.
He saw Aunt Mary comin' and he 
ducked
 back in the alley.
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight.

Well, Long, Tall Sally
She's 
built
 for speed, she got
Everything that 
Uncle
 John needs
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight.

Well, I saw 
Uncle
 John with long tall Sally.
He saw Aunt Mary comin' and he 
ducked
 back in the alley.
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight, yeah.

We 
gonna
 have some fun tonight,
We 
gonna
 have some fun tonight, woo-o-oh,
Have some fun tonight,
Everything all right,
Have some fun, have me some fun tonight."
You Can't Do That [*],"I got 
something
 to say that 
might
 cause you pain,
If I 
catch
 you 
talking
 to that boy again,

I'm 
gonna
 let you down,
And 
leave
 you flat,
Because I told you before, oh,
You can't do that.

Well, it's the 
second
 time, I've 
caught
 you 
talking
 to him,
Do I have to tell you one more time, I 
think
 it's a sin,
I 
think
 I'll let you down.
Let you down and 
leave
 you flat,
Gonna let you down and 
leave
 you flat,
Because I've told you before, oh,
You can't do that.

Ev'rybody's green,
'cause I'm the one, who won your love,
But if it's seen,
You're 
talking
 that way they'd 
laugh
 in my face.
So 
please
 listen to me, if you want to stay mine,
I can't help my feelings, I'll go out of my mind.

I know I'll let you down,
And 
leave
 you flat,
Gonna let you down and 
leave
 you flat,
Because I've told you before, oh,
You can't do that."
I Want to Hold Your Hand [*],"Oh yeah I tell you somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I feel that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand
I want to hold your hand"
Everybody’s Trying to Be My Baby [*],"Well they took some 
honey
 from a tree
Dressed it up and they 
called
 it me

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Well half past nine, half past four
Fifty 
women
 knocking on my door

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Went out last night, I didn't stay late
'Fore I got home I had 
nineteen
 dates

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Went out last night, I didn't stay late
'Fore I got home I had 
nineteen
 dates

Well they took some 
honey
 from a tree
Dressed it up and they 
called
 it me

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, no"
Baby's in Black [*],"Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

She 
thinks
 of him
And so she 
dresses
 in black
And 
though
 he'll 
never
 come back
She's 
dressed
 in black

Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

I 
think
 of her
But she only 
thinks
 of him
And 
though
 it's only a whim
She 
thinks
 of him

Oh how long will it take
Till she sees the 
mistake
 she has made?
Dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

Oh how long it will take
Till she sees the 
mistake
 she has made?
Dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?

She 
thinks
 of him
And so she 
dresses
 in black
And 
though
 he'll 
never
 come back
She's 
dressed
 in black

Oh dear, what can I do?
Baby's in 
black
 and I'm 
feeling
 blue
Tell me, oh what can I do?"
Twist & Shout,"Well, shake it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I know you would

Well, shake it up baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine, woo

Ah, ah, ah, ah, wow
Baby now
Twist and shout
Come on, come on, come, come on baby now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine
Well, shake it, shake it, shake it, baby now
Well, shake it, shake it, shake it, baby now
Well, shake it, shake it, shake it, baby now
Ah, ah, ah, ah"
She's a Woman,"My love don't give me presents
I know that she's no peasant
Only ever has to give me
Love forever and forever
My love don't give me presents

Turn me on when I get lonely
People tell me that she's only fooling
I know she isn't

She don't give boys the eye
She hates to see me cry
She is happy just to hear me
Say that I will never leave her
She don't give boys the eye

She will never make me jealous
Gives me all her time as well as loving
Don't ask me why

She's a woman who understands
She's a woman who loves her man

My love don't give me presents
I know that she's no peasant
Only ever has to give me
Love forever and forever
My love don't give me presents

Turn me on when I get lonely
People tell me that she's only fooling
I know she isn't, woo ooh

She's a woman who understands
She's a woman who loves her man

Her love don't give me presents
I know that she's no peasant
Only ever has to give me
Love forever and forever
My love don't give me presents

Turn me on when I get lonely
People tell me that she's only fooling
I know she isn't

She's a woman, she's a woman
She's a woman, she's a woman, she's a woman"
Dizzy Miss Lizzy,"You make me dizzy, Miss Lizzy
The way you rock and roll
You make me dizzy, Miss Lizzy
When we do the stroll
Come on, Miss Lizzy
Love me before I grow too old

Come on, give me fever
Put your little hand in mine
You make me dizzy, dizzy Lizzy
Oh girl, you look so fine
Just a-rocking and a-rolling
Girl I said I wish you were mine

You make me dizzy, Miss Lizzy
When you call my name
Ooh baby
Say you're driving me insane
C'mon, c'mon, c'mon, c'mon baby
I want to be your lover man

Run and tell your mama
I want you to be my bride
Run and tell your brother
Baby, don't run and hide
You make me dizzy, Miss Lizzy
Girl I want to marry you

Come on, give me fever
Put your little hand in mine, girl
You make me dizzy, dizzy Lizzy
Girl, you look so fine
You're just a-rocking and a-rolling
Oh I said I wish you were mine."
Ticket to Ride,"I think I'm gonna be sad,
I think it's today, yeah.
The girl that's driving me mad
Is going away.

[Chorus]
She's got a ticket to ride,
She's got a ticket to ride,
She's got a ticket to ride,
But she don't care.

She said that living with me
Is bringing her down yeah.
For she would never be free
When I was around.

[Chorus]

I don't know why she's ridin' so high,
She ought to think twice,
She ought to do right by me.
Before she gets to saying goodbye,
She ought to think twice,
She ought to do right by me.

I think I'm gonna' be sad,
I think it's today yeah.
The girl that's driving me mad
Is going away, yeah.

[Chorus]

I don't know why she's ridin' so high,
She ought to think twice,
She ought to do right by me.
Before she gets to saying goodbye,
She ought to think twice,
She ought to do right by me

She said that living with me,
Is bringing her down, yeah.
For she would never be free
When I was around.

[Chorus]

[Repeat: x3]
My baby don't care, my baby don't care."
Can't Buy Me Love,"Can't buy me love, love
Can't buy me love

I'll buy you a diamond ring my friend
If it makes you feel all right
I'll get you anything my friend
If it makes you feel all right
Cause I don't care too much for money
For money can't buy me love

I'll give you all I've got to give
If you say you love me too
I may not have a lot to give
But what I've got I'll give to you
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
Cause money can't buy me love
Oh, can't buy me love, love
Can't buy me love, no"
Things We Said Today,"You say you will love me
If I have to go
You'll be thinking of me
Somehow I will know

Someday when I'm lonely
Wishing you weren't so far away
Then I will remember
Things we said today

You say you'll be mine, girl
'Til the end of time
These days such a kind girl
Seems so hard to find

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
The things we said today

Me, I'm just the lucky kind
Love to hear you say that love is luck
And, though we may be blind
Love is here to stay
And that's enough
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today

Me, I'm just the lucky kind
Love to hear you say that love is luck
And, though we may be blind
Love is here to stay
And that's enough
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on

Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
The things we said today"
Roll Over Beethoven,"I'm gonna write a little letter,
Gonna mail it to my local DJ
It's a rockin' rhythm record 
I want my jockey to play
Roll Over Beethoven, I gotta hear it again today

You know, my temperature's risin' 
And the jukebox blows a fuse
My heart's beatin' rhythm 
And my soul keeps on singin' the blues
Roll Over Beethoven and tell Tchaikovsky the news

I got the rockin' pneumonia, 
I need a shot of rhythm and blues
I think I'm rollin' arthritis 
Sittin' down by the rhythm review
Roll Over Beethoven rockin' in two by two

Well, if you feel you like it
Go get your lover, then reel and rock it
Roll it over and move on up just
A trifle further and reel and rock it,
Roll it over,
Roll Over Beethoven rockin' in two by two

Well, early in the mornin' I'm a-givin' you a warnin' 
Don't you step on my blue suede shoes
Hey diddle diddle, I am playin' my fiddle,
Ain't got nothin' to lose
Roll Over Beethoven and tell Tschaikowsky the news

You know she wiggles like a glow worm,
Dance like a spinnin' top
She got a crazy partner, 
Oughta see 'em reel and rock
Long as she got a dime the music will never stop

Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven,
Roll Over Beethoven and dig these rhythm and blues"
Boys,"I been told when a boy kiss a girl, 
Take a trip around the world, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

My girl says when I kiss her lips, 
Gets a thrill through her fingertips, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

Well, I talk about boys, 
Don't ya know I mean boys, 
Well, I talk about boys, now, 
Aaahhh, boys, 
Well, I talk about boys, now, 
What a bundle of joy! (Alright, George!) 

My girl says when I kiss her lips, 
Gets a thrill through her fingertips, 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop, m'bop bop shuop) 
Hey, hey, (bop shuop) yeah, she say ya do. (Bop shuop) 

Well, I talk about boys, 
Don't ya know I mean boys, 
Well, I talk about boys, now, 
Aaahhh, boys, 
Well, I talk about boys, now, 
What a bundle of joy!"
